CBSAFP2,zone_name,is_nonmsa,n_bg,SUM_TotPop,D1B_weighted,D1D_weighted,D2A_weighted,D3B_weighted,pct_near_transit,D5AR_weighted,pct_white,pct_male,avg_hh_size,Veh_Within,ATF_Within,atf_share_within,atf_share_total
RAL2,AL-NonMSA areas (NE),1,357,461064,0.5347057898330223,0.4552181717803897,0.4810464788801623,13.654861037681796,0.0,4826.620031058595,75.9641438498068,48.91171117228871,2.6040335564782646,338293485,31907375.0,0.086189359,0.083310348
RAL1,AL-NonMSA areas (NW),1,173,198213,0.394979782294954,0.3896072935731415,0.489183783436163,12.43373285314174,0.0,4447.578438346627,88.68503841732712,49.366769516203846,2.598592933223284,149238337,13221253.0,0.081381795,0.079292428
RAL3,AL-NonMSA areas (SE),1,73,88591,0.6406671619434264,0.5252341964036304,0.5314803121431921,12.409691344851607,0.0,3727.651409285368,40.44152880775813,49.70336565887051,2.744121974891206,63509746,6687651.0,0.095269216,0.092451643
RAL4,AL-NonMSA areas (SW),1,373,398516,0.5229211722983821,0.4279785672739666,0.5245060179648665,13.72639152836014,0.0,2842.003417679591,55.96715619005739,48.215400400817806,2.645576898647429,276456412,27558517.0,0.090648565,0.088750785
RAR2,AR-NonMSA areas (E),1,213,192133,0.6615751559583903,0.5118154784027529,0.5539670086539872,18.545853097916904,0.0,2426.583939250415,55.91844709411007,49.38111884419192,2.497085893615338,134061752,14413247.0,0.097075246,0.096267532
RAR1,AR-NonMSA areas (N),1,414,526690,0.6577258324096292,0.646832289030988,0.4945969509537916,18.17282801276583,0.0,4297.809724885607,88.0958532980207,49.20394569351719,2.5179802425431146,415952087,41573524.0,0.090866004,0.090000151
RAR3,AR-NonMSA areas (W),1,325,418243,0.7699162445477994,0.718910397218715,0.5364642346698036,21.86310707736773,0.0,4128.564358518852,73.86526677447372,49.12162843035168,2.6502149197548133,314682564,31727187.0,0.091588608,0.090963787
RAZ2,AZ-NonMSA areas,1,215,281010,1.2156935059318523,0.7105635660541829,0.4522775254070075,20.084229984587058,4.883100245542863,934.6577773032988,40.88346431549256,50.273022405932345,3.0651651423040533,201600495,30248125.0,0.130464977535773,0.130221195490547
10180,"Abilene, TX",0,144,170009,3.705749088494058,2.5966970817760213,0.5080227879287834,66.1524914853449,0.0,15499.201895193784,64.19209112375417,50.497161171624604,2.801020826836914,154451306,15609104.0,0.091785643,0.091513811
10420,"Akron, OH",0,553,704454,4.831905224421767,3.589914862635128,0.5228868207930369,65.13632234817462,0.2539555457134178,59047.18076410951,79.88562822780584,48.63997044803899,2.4563329064049726,573747401,83654426.0,0.127250066,0.123521075745879
10500,"Albany, GA",0,111,153101,1.8381671043746792,1.49784802779171,0.5422972174218695,53.35475714553912,0.0,10976.656364099515,41.07199408846194,47.3292515570569,2.652619051785996,133404708,16043124.0,0.107349325750005,0.106431095816354
10540,"Albany, OR",0,85,122870,3.7147135670931006,2.7962639711616712,0.5508684448829693,49.94522913686602,47.634898673394645,9661.633352323592,84.91379310344827,49.29147207472331,2.6181483187471213,80487819,18262847.0,0.184938975500175,0.175850801860039
10580,"Albany-Schenectady-Troy, NY",0,670,880481,6.111283183385511,5.5517476556423375,0.510024698166332,58.90060647476578,46.99862915838048,34158.618923065915,79.70277131853359,48.990957562765686,2.497032998500197,684047392,186065033.0,0.213840220704813,0.211472290981753
10740,"Albuquerque, NM",0,587,928368,6.672651570519752,4.780536708199758,0.4706715537124,89.70465863196125,59.39099581200559,40853.74082045051,39.84912966446876,49.219808473536446,2.5905144940646005,788412710,138212717.0,0.149157052000473,0.148773193720071
10780,"Alexandria, LA",0,112,153894,1.6838811317126117,1.5564060635409551,0.5174368342977749,32.16298781044713,0.0,9015.298809570224,63.44856826038745,49.57537016502511,2.7634875714259963,146213867,13093348.0,0.082189297,0.081714105
10900,"Allentown-Bethlehem-Easton, PA-NJ",0,578,834615,7.877187767454475,5.22506610007351,0.5205328789003398,122.84115833332466,54.23171162751687,46410.243452370254,73.10633827198816,49.08310550256086,2.6132112850943283,686891678,129057402.0,0.158168450903824,0.155855646284801
11020,"Altoona, PA",0,113,123842,4.583962536929652,3.760156897405324,0.568832211195985,86.72158446408733,0.0,13484.641309087385,94.5711571408852,48.92860332746008,2.362678893450485,115580990,25613145.0,0.181403745984208,0.179839527608644
11100,"Amarillo, TX",0,204,263412,5.290640609511274,3.504774731772525,0.5015176679365716,77.85310183997217,54.552184410733,28019.602520006683,59.63544825912896,50.22405374256945,2.7097026041399146,251492481,26275325.0,0.094594566,0.094538544
11180,"Ames, IA",0,63,96922,6.528865509343614,6.903176207227942,0.5336122602118103,65.17113846758134,0.0,21776.15846763377,83.83862349263985,52.21939117607617,2.5638306312977703,74138517,10087788.0,0.119770040962856,0.118046593209534
11460,"Ann Arbor, MI",0,251,365961,7.857703498343632,6.539724819319185,0.4793390540757465,76.90810508318715,51.95662925830895,67076.69892146977,70.12752043596731,49.57029972752044,2.598322064497858,235535937,42191363.0,0.151916513068755,0.145686373231275
11500,"Anniston-Oxford-Jacksonville, AL",0,91,115098,1.217882377434154,1.0631522211987667,0.4305156096585767,35.148511754075315,0.0,8424.989304766374,72.07244935350468,48.10849953759445,2.569622239659231,97495649,9645173.0,0.090023325,0.087277054
